feature,shap_importance
distance_km,0.43251264
bearing,0.115406565
hour_cos,0.08519634
distance_log,0.07651797
dropoff_latitude,0.05954514
hour,0.05724646
day_of_week,0.03412461
pickup_longitude,0.029978048
hour_sin,0.029451834
dropoff_longitude,0.027804846
month,0.026975904
day_of_week_cos,0.024659103
pickup_latitude,0.022044832
day_of_week_sin,0.019342687
week_of_year,0.018613001
passenger_count,0.010851319
vendor_id,0.0083770845
is_weekend,0.007941927
quarter,0.005814422
distance_manhattan,0.004715823
month_cos,0.0018038158
month_sin,0.00046973935
store_and_fwd_flag,6.5454595e-05
